Task:        font_detection
Classes:     ['Arial', 'Georgia', 'Lato', 'Merriweather', 'Montserrat', 'Nunito', 'Open Sans', 'Oswald', 'PT Sans', 'Playfair Display', 'Raleway', 'Roboto', 'Source Sans Pro', 'Times New Roman', 'Ubuntu']
Num classes: 15
Metric:      f1_macro
Time budget: 1200s

Device: cuda
Model params: 8.54M
Estimated total steps: 120000
Batch size:            64
Images per epoch:      29,952


step 00094 | loss: 2.7469 | lr: 1.90e-04 | imgs/s: 1,353 | remaining: 1190s    
step 00095 | loss: 2.7442 | lr: 1.92e-04 | imgs/s: 2,201 | remaining: 1190s    
step 00096 | loss: 2.7479 | lr: 1.94e-04 | imgs/s: 1,518 | remaining: 1190s    
step 00097 | loss: 2.7497 | lr: 1.96e-04 | imgs/s: 3,530 | remaining: 1190s    
step 00098 | loss: 2.7520 | lr: 1.98e-04 | imgs/s: 1,682 | remaining: 1190s    
step 00099 | loss: 2.7560 | lr: 2.00e-04 | imgs/s: 2,214 | remaining: 1190s    
step 00100 | loss: 2.7569 | lr: 2.02e-04 | imgs/s: 1,383 | remaining: 1190s    
step 00101 | loss: 2.7587 | lr: 2.04e-04 | imgs/s: 3,499 | remaining: 1190s    
step 00102 | loss: 2.7566 | lr: 2.06e-04 | imgs/s: 1,296 | remaining: 1190s    
step 00103 | loss: 2.7605 | lr: 2.08e-04 | imgs/s: 3,039 | remaining: 1190s    
step 00104 | loss: 2.7613 | lr: 2.10e-04 | imgs/s: 1,272 | remaining: 1190s    
step 00105 | loss: 2.7618 | lr: 2.12e-04 | imgs/s: 3,245 | remaining: 1190s    
step 00106 | loss: 2.7587 | lr: 2.14e-04 | imgs/s: 1,637 | remaining: 1190s    
step 00107 | loss: 2.7576 | lr: 2.16e-04 | imgs/s: 2,536 | remaining: 1190s    
step 00108 | loss: 2.7552 | lr: 2.18e-04 | imgs/s: 1,153 | remaining: 1190s    
step 00109 | loss: 2.7540 | lr: 2.20e-04 | imgs/s: 3,367 | remaining: 1190s    
step 00110 | loss: 2.7509 | lr: 2.22e-04 | imgs/s: 1,932 | remaining: 1190s    
step 00111 | loss: 2.7512 | lr: 2.24e-04 | imgs/s: 2,767 | remaining: 1190s    
step 00112 | loss: 2.7524 | lr: 2.26e-04 | imgs/s: 1,118 | remaining: 1190s    
step 00113 | loss: 2.7524 | lr: 2.28e-04 | imgs/s: 3,377 | remaining: 1190s    
step 00114 | loss: 2.7513 | lr: 2.30e-04 | imgs/s: 1,887 | remaining: 1190s    
step 00115 | loss: 2.7526 | lr: 2.32e-04 | imgs/s: 2,635 | remaining: 1190s    
step 00116 | loss: 2.7519 | lr: 2.34e-04 | imgs/s: 1,104 | remaining: 1190s    
step 00117 | loss: 2.7505 | lr: 2.36e-04 | imgs/s: 3,534 | remaining: 1189s    
step 00118 | loss: 2.7501 | lr: 2.38e-04 | imgs/s: 2,206 | remaining: 1189s    
step 00119 | loss: 2.7492 | lr: 2.40e-04 | imgs/s: 2,208 | remaining: 1189s    
step 00120 | loss: 2.7473 | lr: 2.42e-04 | imgs/s: 1,167 | remaining: 1189s    
step 00121 | loss: 2.7458 | lr: 2.44e-04 | imgs/s: 3,508 | remaining: 1189s    
step 00122 | loss: 2.7464 | lr: 2.46e-04 | imgs/s: 2,088 | remaining: 1189s    
step 00123 | loss: 2.7475 | lr: 2.48e-04 | imgs/s: 1,933 | remaining: 1189s    
step 00124 | loss: 2.7459 | lr: 2.50e-04 | imgs/s: 1,243 | remaining: 1189s    
step 00125 | loss: 2.7461 | lr: 2.52e-04 | imgs/s: 3,519 | remaining: 1189s    
